ensembl_id,gene_symbol,ncbi_id
Unknown,n-TPagg1,NCBI:102467584
Unknown,n-TPagg4,NCBI:102467585
Unknown,n-TPagg6,NCBI:102467586
Unknown,n-TPcgg3,NCBI:102467587
Unknown,n-TPtgg2,NCBI:102467588
Unknown,n-TPtgg4,NCBI:102467589
Unknown,n-TPtgg6,NCBI:102467590
Unknown,n-TUtca1,NCBI:102467591
Unknown,n-TSaga4,NCBI:102467592
Unknown,n-TSaga2,NCBI:102467595
Unknown,n-TScga2,NCBI:102467596
Unknown,n-TSgct2,NCBI:102467597
Unknown,n-TSgct7,NCBI:102467598
Unknown,n-TSgga1,NCBI:102467599
Unknown,n-TStga3,NCBI:102467600
Unknown,n-TTagt1,NCBI:102467601
Unknown,n-TTagt3,NCBI:102467602
Unknown,n-TTagt5,NCBI:102467603
Unknown,n-TTagt7,NCBI:102467604
Unknown,n-TTcgt1,NCBI:102467605
Unknown,n-TTcgt4,NCBI:102467606
Unknown,n-TTtgt1,NCBI:102467607
Unknown,n-TTtgt4,NCBI:102467608
Unknown,n-TWcca2,NCBI:102467609
Unknown,n-TWcca4,NCBI:102467610
Unknown,n-TWcca6,NCBI:102467611
Unknown,n-TWcca8,NCBI:102467612
Unknown,n-TYgta3,NCBI:102467613
Unknown,n-TYgta5,NCBI:102467614
Unknown,n-TYgta8,NCBI:102467615
Unknown,n-TYgta10,NCBI:102467616
Unknown,n-TVaac3,NCBI:102467617
Unknown,n-TVaac5,NCBI:102467618
Unknown,n-TVaac7,NCBI:102467619
Unknown,n-TVcac1,NCBI:102467620
Unknown,n-TVcac7,NCBI:102467623
Unknown,n-TVcac9,NCBI:102467624
Unknown,n-TVcac11,NCBI:102467625
Unknown,n-TVtac1,NCBI:102467626
Unknown,n-TVtac3,NCBI:102467627
Unknown,n-TRacg1,NCBI:102467628
Unknown,n-TDgtc8,NCBI:102467629
Unknown,n-TCgca37,NCBI:102467630
Unknown,n-TEctc10,NCBI:102467631
Unknown,n-TLtaa4,NCBI:102467632
Unknown,n-TMcat12,NCBI:102467633
Unknown,n-TSgct1,NCBI:102467634
Unknown,n-TAagc7,NCBI:102467635
Unknown,n-TAcgc6,NCBI:102467636
Unknown,n-TRacg3,NCBI:102467637
Unknown,n-TRtct5,NCBI:102467638
Unknown,n-TCgca3,NCBI:102467640
Unknown,n-TCgca21,NCBI:102467641
Unknown,n-TCgca39,NCBI:102467642
Unknown,n-TCgca57,NCBI:102467643
Unknown,n-TEctc3,NCBI:102467644
Unknown,n-TGgcc10,NCBI:102467646
Unknown,n-TIaat1,NCBI:102467647
Unknown,n-TLaag1,NCBI:102467648
Unknown,n-TLcag7,NCBI:102467649
Unknown,n-TKctt8,NCBI:102467650
Unknown,n-TKctt26,NCBI:102467651
Unknown,n-TMcat15,NCBI:102467652
Unknown,n-TPcgg2,NCBI:102467653
